         138206233 function calls (137099009 primitive calls) in 2668.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3360    0.127    0.000    0.127    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  2588024    0.123    0.000    0.123    0.000 {method 'extend' of 'list' objects}
  1910228    0.123    0.000    0.123    0.000 {method 'items' of 'dict' objects}
  1557436    0.118    0.000    0.118    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\core\fromnumeric.py:2118(_sum_dispatcher)
55677/28007    0.116    0.000    0.122    0.000 {built-in method _abc._abc_subclasscheck}
    10530    0.110    0.000    0.289    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:423(<listcomp>)
  1617964    0.107    0.000    0.108    0.000 {method 'get' of 'dict' objects}
    28416    0.106    0.000    0.220    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\compressed.py:1156(prune)
   737023    0.106    0.000    0.106    0.000 {built-in method builtins.max}
    34632    0.106    0.000    0.106    0.000 {built-in method numpy.empty}
    21060    0.097    0.000    0.189    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:412(<listcomp>)
    40704    0.092    0.000    0.147    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\sputils.py:277(check_shape)
     9545    0.092    0.000    0.099    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\weakref.py:102(__init__)
      768    0.088    0.000    0.146    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_aux_functions.py:337(convert_sequence)
      768    0.086    0.000    0.086    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_procedural.py:1793(<listcomp>)
   288768    0.078    0.000    0.078    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\lib\_iotools.py:671(_loose_call)
    27611    0.077    0.000    0.090    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_ostream.py:136(write)
45336/330    0.069    0.000    0.890    0.003 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\autograph\pyct\transformer.py:421(visit)
     8448    0.067    0.000   13.375    0.002 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\coo.py:126(__init__)
   102069    0.063    0.000    0.190    0.000 {built-in method _abc._abc_instancecheck}
     8448    0.063    0.000    6.454    0.001 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\coo.py:265(_check)
    70600    0.063    0.000    0.063    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\eager\context.py:903(executing_eagerly)
34429/1254    0.061    0.000    0.169    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\autograph\pyct\ast_util.py:37(copy)
   100057    0.059    0.000    0.059    0.000 {built-in method numpy.zeros}
20418/16499    0.057    0.000 2632.779    0.160 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\util\dispatch.py:1082(op_dispatch_handler)
    14080    0.056    0.000    0.128    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\expressions\leaf.py:93(__init__)
   188465    0.055    0.000    0.101    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:134(hasanno)
